job_id,instance_id,submit_time_ms,mesos_start_time_ms,start_time_ms,end_time_ms,hostname,slave_id,status,reason,user,mem,cpus,job_name,requested_run_time,requested_status
591c9805-51dd-4c5f-9fce-818b37c93055,6bb57edd-baae-4dd8-b68a-60b0b93ccb13,1495145253739,1495150593735,1495150593735,1495152123733,4,67194c23-61d6-4901-87a8-38d84af57f95,:instance.status/success,,b,2376.0,3.0,dummy_job,1507039,finished
591c9805-d4e2-4380-b0d1-29093e4e1b7a,a421005f-9846-4888-a763-ad94ac8f6213,1495145013733,1495146153735,1495146153735,1495147713733,1,eba83456-8596-44c2-9de5-fb29cfaf1647,:instance.status/success,,b,2233.0,2.0,dummy_job,1533789,finished
591c9805-0ab7-4b7f-87e8-51f4650ba4f9,5118352f-82bc-4206-8e60-0e3b340eed20,1495145433739,1495150653735,1495150653735,1495151853733,2,4696a9c8-fc9f-46b4-8a83-23b384f3f616,:instance.status/success,,d,2144.0,3.0,dummy_job,1189909,finished
591c9805-c297-4bc6-a3a6-d32d6bfa9cce,e37696f6-67ca-4064-97dc-adc32c1ccd37,1495145433732,1495150653735,1495150653735,1495152123735,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/running,,d,2643.0,2.0,dummy_job,1736564,finished
591c9805-98a5-4673-b8d0-92c443b59ab1,9c5f6f4a-9679-4b8e-a0b4-e727f824edf1,1495144953740,1495146183735,1495146183735,1495147563733,1,eba83456-8596-44c2-9de5-fb29cfaf1647,:instance.status/success,,b,2450.0,3.0,dummy_job,1379653,finished
591c9805-a3df-4920-ae39-6d261d56cc61,698a1104-07c3-4965-a146-c9318c160942,1495145013736,1495146243735,1495146243735,1495147533733,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/success,,d,2892.0,1.0,dummy_job,1279902,finished
591c9805-57ef-4da1-a4a4-46c54964194f,0b48797f-4248-46fb-b64c-c9408aa6368e,1495145433741,1495150713735,1495150713735,1495152123735,0,a05a4ac2-7eb2-40a1-8259-111b961874c1,:instance.status/running,,d,2626.0,3.0,dummy_job,1442781,finished
591c9805-2694-4f3a-a83f-209b2b4fc585,8cf30f43-51a1-4c19-9597-ca8b97d6ba3e,1495145433733,1495150713735,1495150713735,1495152123735,3,a45be252-35f7-434a-8ec3-1e85265213ac,:instance.status/running,,d,2662.0,3.0,dummy_job,1439847,finished
591c9805-db51-432d-ab96-ec340aee78f6,14a0a628-4a97-445d-a37e-eabae78c94dd,1495145073736,1495146333735,1495146333735,1495147743733,0,a05a4ac2-7eb2-40a1-8259-111b961874c1,:instance.status/success,,c,2371.0,2.0,dummy_job,1386441,finished
591c9805-66b5-4ea0-b68c-062ea23ae7bc,74b9e9f7-683e-4000-a77b-35711d46ec1b,1495145313737,1495150773735,1495150773735,1495152123735,2,4696a9c8-fc9f-46b4-8a83-23b384f3f616,:instance.status/running,,a,2599.0,1.0,dummy_job,1379540,finished
